Type,Death Benefit,Age,Premium,Loading,Profit,Expenses,Year,Intervention,Mortality
T20,50000,26,129.6800361,0.4,108.9243285,2,2014,FALSE,1
T20,50000,35,212.0457817,0.4,732.1856472,2,2014,FALSE,1
T20,50000,45,827.029864,0.4,2672.304625,2,2014,FALSE,1
T20,50000,55,2894.65213,0.4,7161.318756,2,2014,FALSE,1
T20,100000,26,210.5747775,0.4,707.4864237,2,2014,FALSE,1
T20,100000,35,412.3240312,0.4,1374.613771,2,2014,FALSE,1
T20,100000,45,1605.485419,0.4,5187.655605,2,2014,FALSE,1
T20,100000,55,5733.344409,0.4,14184.19382,2,2014,FALSE,1
T20,250000,26,453.6654965,0.4,1524.219489,2,2014,FALSE,1
T20,250000,35,957.7623765,0.4,3193.006598,2,2014,FALSE,1
T20,250000,45,3940.852083,0.4,12733.70855,2,2014,FALSE,1
T20,250000,55,14249.42125,0.4,35252.81901,2,2014,FALSE,1
T20,500000,26,858.8166949,0.4,2885.441263,2,2014,FALSE,1
T20,500000,35,1866.826285,0.4,6223.661309,2,2014,FALSE,1
T20,500000,45,7833.129856,0.4,25310.46345,2,2014,FALSE,1
T20,500000,55,28442.88264,0.4,70367.19433,2,2014,FALSE,1
T20,1000000,26,1669.119092,0.4,5607.884813,2,2014,FALSE,1
T20,1000000,35,3684.954103,0.4,12284.97073,2,2014,FALSE,1
T20,1000000,45,15617.6854,0.4,50463.97325,2,2014,FALSE,1
T20,1000000,55,56829.80543,0.4,140595.945,2,2014,FALSE,1
T20,2000000,26,3289.723885,0.4,11052.77191,2,2014,FALSE,1
T20,2000000,35,7321.209738,0.4,24407.58958,2,2014,FALSE,1
T20,2000000,45,31186.7965,0.4,100770.9929,2,2014,FALSE,1
T20,2000000,55,113603.651,0.4,281053.4462,2,2014,FALSE,1
SPWL,50000,26,2107.158856,0.4,758.58,2,2014,FALSE,1
SPWL,50000,35,3971.685191,0.4,1429.81,2,2014,FALSE,1
SPWL,50000,45,9472.420975,0.4,3410.07,2,2014,FALSE,1
SPWL,50000,55,19634.53415,0.4,7068.43,2,2014,FALSE,1
SPWL,100000,26,3750.047492,0.4,1350.02,2,2014,FALSE,1
SPWL,100000,35,7486.195176,0.4,2695.03,2,2014,FALSE,1
SPWL,100000,45,18510.38418,0.4,6663.74,2,2014,FALSE,1
SPWL,100000,55,38888.38578,0.4,13999.82,2,2014,FALSE,1
SPWL,250000,26,8678.7134,0.4,3124.34,2,2014,FALSE,1
SPWL,250000,35,18029.72513,0.4,6490.70,2,2014,FALSE,1
SPWL,250000,45,45624.27381,0.4,16424.74,2,2014,FALSE,1
SPWL,250000,55,96649.94065,0.4,34793.98,2,2014,FALSE,1
SPWL,500000,26,16893.15658,0.4,6081.54,2,2014,FALSE,1
SPWL,500000,35,35602.27506,0.4,12816.82,2,2014,FALSE,1
SPWL,500000,45,90814.08984,0.4,32693.07,2,2014,FALSE,1
SPWL,500000,55,192919.1988,0.4,69450.91,2,2014,FALSE,1
SPWL,1000000,26,33322.04294,0.4,11995.94,2,2014,FALSE,1
SPWL,1000000,35,70747.37491,0.4,25469.05,2,2014,FALSE,1
SPWL,1000000,45,181193.7219,0.4,65229.74,2,2014,FALSE,1
SPWL,1000000,55,385457.715,0.4,138764.78,2,2014,FALSE,1
SPWL,2000000,26,66179.81567,0.4,23824.73,2,2014,FALSE,1
SPWL,2000000,35,141037.5746,0.4,50773.53,2,2014,FALSE,1
SPWL,2000000,45,361952.9861,0.4,130303.07,2,2014,FALSE,1
SPWL,2000000,55,770534.7475,0.4,277392.51,2,2014,FALSE,1
