Type,Death Benefit,Age,Premium,Loading,Profit,Expenses,Year,Intervention,Mortality,Reduction
T20,50000,26,125.9157653,0.4,-1160.152294,2,2024,TRUE,1,2
T20,50000,35,206.4822503,0.4,-527.5993905,2,2024,TRUE,1,2
T20,50000,45,779.8376132,0.4,1578.931581,2,2024,TRUE,1,2
T20,50000,55,2783.246216,0.4,6877.081749,2,2024,TRUE,1,2
T20,100000,26,203.1517161,0.4,-546.2104084,2,2024,TRUE,1,2
T20,100000,35,378.3199804,0.4,143.7219147,2,2024,TRUE,1,2
T20,100000,45,1509.817256,0.4,4325.805016,2,2024,TRUE,1,2
T20,100000,55,5509.243937,0.4,14931.822,2,2024,TRUE,1,2
T20,250000,26,434.6260225,0.4,381.7608962,2,2024,TRUE,1,2
T20,250000,35,872.2845876,0.4,2107.077483,2,2024,TRUE,1,2
T20,250000,45,3699.756185,0.4,12566.42532,2,2024,TRUE,1,2
T20,250000,55,13687.2371,0.4,39096.04274,2,2024,TRUE,1,2
T20,500000,26,820.4165331,0.4,1928.379737,2,2024,TRUE,1,2
T20,500000,35,1695.558933,0.4,5379.336763,2,2024,TRUE,1,2
T20,500000,45,7349.654399,0.4,26300.79249,2,2024,TRUE,1,2
T20,500000,55,27317.22571,0.4,79369.74399,2,2024,TRUE,1,2
T20,1000000,26,1591.997554,0.4,5021.617419,2,2024,TRUE,1,2
T20,1000000,35,3342.107624,0.4,11923.85532,2,2024,TRUE,1,2
T20,1000000,45,14649.45083,0.4,53769.52684,2,2024,TRUE,1,2
T20,1000000,55,54577.20292,0.4,159917.1465,2,2024,TRUE,1,2
T20,2000000,26,3135.159597,0.4,11208.09278,2,2024,TRUE,1,2
T20,2000000,35,6635.205006,0.4,25012.89245,2,2024,TRUE,1,2
T20,2000000,45,29249.04369,0.4,108706.9955,2,2024,TRUE,1,2
T20,2000000,55,109097.1573,0.4,321011.9515,2,2024,TRUE,1,2
SPWL,50000,26,1535.597976,0.4,-691.01,2,2024,TRUE,1,2
SPWL,50000,35,2739.45332,0.4,-191.01,2,2024,TRUE,1,2
SPWL,50000,45,6455.676705,0.4,1338.80,2,2024,TRUE,1,2
SPWL,50000,55,14978.76782,0.4,4770.64,2,2024,TRUE,1,2
SPWL,100000,26,2666.398725,0.4,-205.00,2,2024,TRUE,1,2
SPWL,100000,35,5078.675398,0.4,796.90,2,2024,TRUE,1,2
SPWL,100000,45,12525.81864,0.4,3862.59,2,2024,TRUE,1,2
SPWL,100000,55,29608.95086,0.4,10741.30,2,2024,TRUE,1,2
SPWL,250000,26,6058.800973,0.4,1253.02,2,2024,TRUE,1,2
SPWL,250000,35,12096.34163,0.4,3760.64,2,2024,TRUE,1,2
SPWL,250000,45,30736.24443,0.4,11433.98,2,2024,TRUE,1,2
SPWL,250000,55,73499.49996,0.4,28653.31,2,2024,TRUE,1,2
SPWL,500000,26,11712.80472,0.4,3683.05,2,2024,TRUE,1,2
SPWL,500000,35,23792.45202,0.4,8700.20,2,2024,TRUE,1,2
SPWL,500000,45,61086.95409,0.4,24052.96,2,2024,TRUE,1,2
SPWL,500000,55,146650.4151,0.4,58506.65,2,2024,TRUE,1,2
SPWL,1000000,26,23020.81221,0.4,8543.13,2,2024,TRUE,1,2
SPWL,1000000,35,47184.6728,0.4,18579.32,2,2024,TRUE,1,2
SPWL,1000000,45,121788.3734,0.4,49290.92,2,2024,TRUE,1,2
SPWL,1000000,55,292952.2455,0.4,118213.34,2,2024,TRUE,1,2
SPWL,2000000,26,45636.8272,0.4,18263.28,2,2024,TRUE,1,2
SPWL,2000000,35,93969.11435,0.4,38337.56,2,2024,TRUE,1,2
SPWL,2000000,45,243191.212,0.4,99766.84,2,2024,TRUE,1,2
SPWL,2000000,55,585555.9061,0.4,237626.71,2,2024,TRUE,1,2
