"Type","Death.Benefit","Age","Premium","Loading","Profit","Expenses","Year","Intervention","Mortality"
"T20",50000,26,201.4153383,0.4,171.283723,2,2004,FALSE,3
"T20",50000,35,205.348242,0.4,729.8799051,2,2004,FALSE,3
"T20",50000,45,246.7237905,0.4,872.257662,2,2004,FALSE,3
"T20",50000,55,353.9766231,0.4,1233.904093,2,2004,FALSE,3
"T20",100000,26,353.9476407,0.4,1203.989133,2,2004,FALSE,3
"T20",100000,35,385.6047201,0.4,1309.337133,2,2004,FALSE,3
"T20",100000,45,446.7746366,0.4,1579.509617,2,2004,FALSE,3
"T20",100000,55,660.9683735,0.4,2304.026674,2,2004,FALSE,3
"T20",250000,26,811.8306374,0.4,2761.52502,2,2004,FALSE,3
"T20",250000,35,890.9122706,0.4,3025.130289,2,2004,FALSE,3
"T20",250000,45,1046.927175,0.4,3701.265483,2,2004,FALSE,3
"T20",250000,55,1581.943625,0.4,5514.394416,2,2004,FALSE,3
"T20",500000,26,1574.968965,0.4,5357.418165,2,2004,FALSE,3
"T20",500000,35,1733.091521,0.4,5884.785548,2,2004,FALSE,3
"T20",500000,45,2047.181405,0.4,7237.525259,2,2004,FALSE,3
"T20",500000,55,3116.902377,0.4,10865.00732,2,2004,FALSE,3
"T20",1000000,26,3101.245621,0.4,10549.20445,2,2004,FALSE,3
"T20",1000000,35,3417.450023,0.4,11604.09607,2,2004,FALSE,3
"T20",1000000,45,4047.689865,0.4,14310.04481,2,2004,FALSE,3
"T20",1000000,55,6186.81988,0.4,21566.23313,2,2004,FALSE,3
"T20",2000000,26,6153.798933,0.4,20932.77703,2,2004,FALSE,3
"T20",2000000,35,6786.167026,0.4,23042.7171,2,2004,FALSE,3
"T20",2000000,45,8048.706786,0.4,28455.08392,2,2004,FALSE,3
"T20",2000000,55,12326.65489,0.4,42968.68474,2,2004,FALSE,3
"SPWL",50000,26,2312.735047,0.4,832.58,2,2004,FALSE,3
"SPWL",50000,35,2680.859828,0.4,965.11,2,2004,FALSE,3
"SPWL",50000,45,3626.769975,0.4,1305.64,2,2004,FALSE,3
"SPWL",50000,55,5782.075399,0.4,2081.55,2,2004,FALSE,3
"SPWL",100000,26,4126.158269,0.4,1485.42,2,2004,FALSE,3
"SPWL",100000,35,4863.92238,0.4,1751.01,2,2004,FALSE,3
"SPWL",100000,45,6759.750198,0.4,2433.51,2,2004,FALSE,3
