Type,Death Benefit,Age,Premium,Loading,Profit,Expenses,Year,Intervention,Mortality,Reduction
T20,50000,26,129.2845157,0.3,-1146.094487,2,2024,TRUE,8,2
T20,50000,35,233.2954995,0.3,-274.9579139,2,2024,TRUE,8,2
T20,50000,45,867.7868048,0.3,3618.937705,2,2024,TRUE,8,2
T20,50000,55,2879.038657,0.3,13814.31426,2,2024,TRUE,8,2
T20,100000,26,209.8763756,0.3,-670.7422024,2,2024,TRUE,8,2
T20,100000,35,435.369801,0.3,724.7739969,2,2024,TRUE,8,2
T20,100000,45,1685.380169,0.3,8434.263228,2,2024,TRUE,8,2
T20,100000,55,5700.406112,0.3,28798.29319,2,2024,TRUE,8,2
T20,250000,26,451.4197424,0.3,129.4887443,2,2024,TRUE,8,2
T20,250000,35,1014.822578,0.3,3617.207542,2,2024,TRUE,8,2
T20,250000,45,4138.160261,0.3,22880.2398,2,2024,TRUE,8,2
T20,250000,55,14164.50848,0.3,73750.22999,2,2024,TRUE,8,2
T20,500000,26,853.9920204,0.3,1463.206989,2,2024,TRUE,8,2
T20,500000,35,1980.577205,0.3,8437.930118,2,2024,TRUE,8,2
T20,500000,45,8226.127081,0.3,46956.86741,2,2024,TRUE,8,2
T20,500000,55,28271.34575,0.3,148670.1247,2,2024,TRUE,8,2
T20,1000000,26,1659.136576,0.3,4130.643478,2,2024,TRUE,8,2
T20,1000000,35,3912.08646,0.3,18079.37527,2,2024,TRUE,8,2
T20,1000000,45,16402.06072,0.3,95110.12264,2,2024,TRUE,8,2
T20,1000000,55,56485.02031,0.3,298509.914,2,2024,TRUE,8,2
T20,2000000,26,3269.425688,0.3,9465.516455,2,2024,TRUE,8,2
T20,2000000,35,7775.10497,0.3,37362.26557,2,2024,TRUE,8,2
T20,2000000,45,32753.928,0.3,191416.6331,2,2024,TRUE,8,2
T20,2000000,55,112912.3694,0.3,598189.4926,2,2024,TRUE,8,2
SPWL,50000,26,1610.442548,0.3,-631.73,2,2024,TRUE,8,2
SPWL,50000,35,2911.030521,0.3,158.08,2,2024,TRUE,8,2
SPWL,50000,45,6934.028714,0.3,2592.89,2,2024,TRUE,8,2
SPWL,50000,55,15310.54675,0.3,7292.98,2,2024,TRUE,8,2
SPWL,100000,26,2816.37753,0.3,-49.28,2,2024,TRUE,8,2
SPWL,100000,35,5422.495226,0.3,1533.34,2,2024,TRUE,8,2
SPWL,100000,45,13484.59158,0.3,6412.83,2,2024,TRUE,8,2
SPWL,100000,55,30274.06789,0.3,15834.18,2,2024,TRUE,8,2
SPWL,250000,26,6434.182476,0.3,1698.06,2,2024,TRUE,8,2
SPWL,250000,35,12956.88934,0.3,5659.12,2,2024,TRUE,8,2
SPWL,250000,45,33136.28016,0.3,17872.66,2,2024,TRUE,8,2
SPWL,250000,55,75164.63133,0.3,41457.76,2,2024,TRUE,8,2
SPWL,500000,26,12463.85739,0.3,4610.30,2,2024,TRUE,8,2
SPWL,500000,35,25514.21287,0.3,12535.42,2,2024,TRUE,8,2
SPWL,500000,45,65889.09447,0.3,36972.39,2,2024,TRUE,8,2
SPWL,500000,55,149982.2371,0.3,84163.74,2,2024,TRUE,8,2
SPWL,1000000,26,24523.20721,0.3,10434.78,2,2024,TRUE,8,2
SPWL,1000000,35,50628.85993,0.3,26288.02,2,2024,TRUE,8,2
SPWL,1000000,45,131394.7231,0.3,75171.83,2,2024,TRUE,8,2
SPWL,1000000,55,299617.4485,0.3,169575.68,2,2024,TRUE,8,2
SPWL,2000000,26,48641.90685,0.3,22083.73,2,2024,TRUE,8,2
SPWL,2000000,35,100858.154,0.3,53793.23,2,2024,TRUE,8,2
SPWL,2000000,45,262405.9803,0.3,151570.72,2,2024,TRUE,8,2
SPWL,2000000,55,598887.8714,0.3,340399.57,2,2024,TRUE,8,2
