Type,Death Benefit,Age,Premium,Loading,Profit,Expenses,Year,Intervention,Mortality
T20,50000,26,169.9575477,0.4,135.2966101,1,2024,FALSE,3
T20,50000,35,180.173186,0.4,580.9267505,1,2024,FALSE,3
T20,50000,45,218.2428543,0.4,700.2913914,1,2024,FALSE,3
T20,50000,55,317.5275883,0.4,1005.986497,1,2024,FALSE,3
T20,100000,26,315.4073875,0.4,1004.334339,1,2024,FALSE,3
T20,100000,35,341.8830269,0.4,1086.902767,1,2024,FALSE,3
T20,100000,45,412.2013648,0.4,1322.659879,1,2024,FALSE,3
T20,100000,55,610.615014,0.4,1934.54201,1,2024,FALSE,3
T20,250000,26,751.6934725,0.4,2393.576044,1,2024,FALSE,3
T20,250000,35,817.8532073,0.4,2600.090804,1,2024,FALSE,3
T20,250000,45,994.0768963,0.4,3189.765342,1,2024,FALSE,3
T20,250000,55,1489.877291,0.4,4720.208549,1,2024,FALSE,3
T20,500000,26,1478.836947,0.4,4708.978886,1,2024,FALSE,3
T20,500000,35,1611.136841,0.4,5122.070865,1,2024,FALSE,3
T20,500000,45,1963.869449,0.4,6301.607781,1,2024,FALSE,3
T20,500000,55,2955.31442,0.4,9362.986115,1,2024,FALSE,3
T20,1000000,26,2933.123897,0.4,9339.78457,1,2024,FALSE,3
T20,1000000,35,3197.704109,0.4,10166.03099,1,2024,FALSE,3
T20,1000000,45,3903.454554,0.4,12525.29266,1,2024,FALSE,3
T20,1000000,55,5886.188677,0.4,18648.54125,1,2024,FALSE,3
T20,2000000,26,5841.697797,0.4,18601.39594,1,2024,FALSE,3
T20,2000000,35,6370.838645,0.4,20253.95123,1,2024,FALSE,3
T20,2000000,45,7782.624764,0.4,24972.66241,1,2024,FALSE,3
T20,2000000,55,11747.93719,0.4,37219.65151,1,2024,FALSE,3
SPWL,50000,26,1395.774494,0.4,502.48,1,2024,FALSE,3
SPWL,50000,35,1566.106774,0.4,563.80,1,2024,FALSE,3
SPWL,50000,45,2020.419231,0.4,727.35,1,2024,FALSE,3
SPWL,50000,55,3096.903058,0.4,1114.89,1,2024,FALSE,3
SPWL,100000,26,2589.428438,0.4,932.19,1,2024,FALSE,3
SPWL,100000,35,2930.421809,0.4,1054.95,1,2024,FALSE,3
SPWL,100000,45,3839.93245,0.4,1382.38,1,2024,FALSE,3
SPWL,100000,55,5995.01878,0.4,2158.21,1,2024,FALSE,3
SPWL,250000,26,6170.39027,0.4,2221.34,1,2024,FALSE,3
SPWL,250000,35,7023.366911,0.4,2528.41,1,2024,FALSE,3
SPWL,250000,45,9298.472108,0.4,3347.45,1,2024,FALSE,3
SPWL,250000,55,14689.36595,0.4,5288.17,1,2024,FALSE,3
SPWL,500000,26,12138.65999,0.4,4369.92,1,2024,FALSE,3
SPWL,500000,35,13844.94208,0.4,4984.18,1,2024,FALSE,3
SPWL,500000,45,18396.0382,0.4,6622.57,1,2024,FALSE,3
SPWL,500000,55,29179.94456,0.4,10504.78,1,2024,FALSE,3
SPWL,1000000,26,24075.19943,0.4,8667.07,1,2024,FALSE,3
SPWL,1000000,35,27488.09243,0.4,9895.71,1,2024,FALSE,3
SPWL,1000000,45,36591.1704,0.4,13172.82,1,2024,FALSE,3
SPWL,1000000,55,58161.10179,0.4,20938.00,1,2024,FALSE,3
SPWL,2000000,26,47948.2783,0.4,17261.38,1,2024,FALSE,3
SPWL,2000000,35,54774.39311,0.4,19718.78,1,2024,FALSE,3
SPWL,2000000,45,72981.43478,0.4,26273.32,1,2024,FALSE,3
SPWL,2000000,55,116123.4162,0.4,41804.43,1,2024,FALSE,3
