"","years","overnight.rates","upper","lower"
"1",2024,0.0552456800379172,0.0578696718593343,0.0526216882165001
"2",2025,0.0565913600758344,0.0603667132730168,0.052816006878652
"3",2026,0.0579370401137516,0.0626402542013143,0.0532338260261889
"4",2027,0.0592827201516688,0.064805624527846,0.0537598157754916
"5",2028,0.060628400189586,0.0669066474328806,0.0543501529462914
"6",2029,0.0619740802275032,0.068965383149826,0.0549827773051804
"7",2030,0.0633197602654204,0.0709946937347894,0.0556448267960514
"8",2031,0.0646654403033376,0.0730028018026511,0.0563280788040241
"9",2032,0.0660111203412548,0.0749953088012257,0.0570269318812839
"10",2033,0.067356800379172,0.0769762123674889,0.0577373883908551
"11",2034,0.0687024804170892,0.0789484687842479,0.0584564920499305
"12",2035,0.0700481604550064,0.0809143263308255,0.0591819945791873
"13",2036,0.0713938404929236,0.0828755338942988,0.0599121470915484
"14",2037,0.0727395205308408,0.0848334773641799,0.0606455636975017
"15",2038,0.074085200568758,0.0867892720858302,0.0613811290516858
"16",2039,0.0754308806066752,0.0887438274530893,0.0621179337602611
"17",2040,0.0767765606445924,0.0906978932122731,0.0628552280769117
"18",2041,0.0781222406825096,0.0926520933997282,0.063592387965291
"19",2042,0.0794679207204268,0.0946069517002269,0.0643288897406267
"20",2043,0.080813600758344,0.0965629107187655,0.0650642907979225
