Type,Death Benefit,Age,Premium,Loading,Profit,Expenses,Year,Intervention,Mortality
T20,50000,26,108.7965501,0.4,93.59421911,1,2004,FALSE,1
T20,50000,35,200.1257784,0.4,714.8831361,1,2004,FALSE,1
T20,50000,45,860.5585245,0.4,2860.766962,1,2004,FALSE,1
T20,50000,55,2971.047129,0.4,7470.55606,1,2004,FALSE,1
T20,100000,26,193.1328529,0.4,664.5842553,1,2004,FALSE,1
T20,100000,35,432.3542792,0.4,1475.407577,1,2004,FALSE,1
T20,100000,45,1697.082856,0.4,5641.636713,1,2004,FALSE,1
T20,100000,55,5914.305046,0.4,14871.23748,1,2004,FALSE,1
T20,250000,26,446.5088901,0.4,1536.469709,1,2004,FALSE,1
T20,250000,35,1044.420071,0.4,3564.080107,1,2004,FALSE,1
T20,250000,45,4206.655851,0.4,13984.24597,1,2004,FALSE,1
T20,250000,55,14744.0788,0.4,37073.28172,1,2004,FALSE,1
T20,500000,26,868.8022856,0.4,2989.612131,1,2004,FALSE,1
T20,500000,35,2064.529724,0.4,7045.200991,1,2004,FALSE,1
T20,500000,45,8389.277509,0.4,27888.59473,1,2004,FALSE,1
T20,500000,55,29460.36838,0.4,74076.6888,1,2004,FALSE,1
T20,1000000,26,1713.389076,0.4,5895.896977,1,2004,FALSE,1
T20,1000000,35,4104.74903,0.4,14007.44276,1,2004,FALSE,1
T20,1000000,45,16754.52082,0.4,55697.29224,1,2004,FALSE,1
T20,1000000,55,58892.94756,0.4,148083.503,1,2004,FALSE,1
T20,2000000,26,3402.562658,0.4,11708.46667,1,2004,FALSE,1
T20,2000000,35,8185.187641,0.4,27931.92629,1,2004,FALSE,1
T20,2000000,45,33485.00746,0.4,111314.6873,1,2004,FALSE,1
T20,2000000,55,117758.1059,0.4,296097.1313,1,2004,FALSE,1
SPWL,50000,26,2622.803117,0.4,944.21,1,2004,FALSE,1
SPWL,50000,35,5507.709864,0.4,1982.78,1,2004,FALSE,1
SPWL,50000,45,12391.21245,0.4,4460.84,1,2004,FALSE,1
SPWL,50000,55,21856.68872,0.4,7868.41,1,2004,FALSE,1
SPWL,100000,26,4996.011289,0.4,1798.56,1,2004,FALSE,1
SPWL,100000,35,10771.38035,0.4,3877.70,1,2004,FALSE,1
SPWL,100000,45,24554.87647,0.4,8839.76,1,2004,FALSE,1
SPWL,100000,55,43519.17475,0.4,15666.90,1,2004,FALSE,1
SPWL,250000,26,12115.63581,0.4,4361.63,1,2004,FALSE,1
SPWL,250000,35,26562.39182,0.4,9562.46,1,2004,FALSE,1
SPWL,250000,45,61045.86853,0.4,21976.51,1,2004,FALSE,1
SPWL,250000,55,108506.6328,0.4,39062.39,1,2004,FALSE,1
SPWL,500000,26,23981.67667,0.4,8633.40,1,2004,FALSE,1
SPWL,500000,35,52880.74427,0.4,19037.07,1,2004,FALSE,1
SPWL,500000,45,121864.1886,0.4,43871.11,1,2004,FALSE,1
SPWL,500000,55,216819.063,0.4,78054.86,1,2004,FALSE,1
SPWL,1000000,26,47713.75839,0.4,17176.95,1,2004,FALSE,1
SPWL,1000000,35,105517.4492,0.4,37986.28,1,2004,FALSE,1
SPWL,1000000,45,243500.8288,0.4,87660.30,1,2004,FALSE,1
SPWL,1000000,55,433443.9233,0.4,156039.81,1,2004,FALSE,1
SPWL,2000000,26,95177.92183,0.4,34264.05,1,2004,FALSE,1
SPWL,2000000,35,210790.859,0.4,75884.71,1,2004,FALSE,1
SPWL,2000000,45,486774.1093,0.4,175238.68,1,2004,FALSE,1
SPWL,2000000,55,866693.6439,0.4,312009.71,1,2004,FALSE,1
