Type,Death Benefit,Age,Premium,Loading,Profit,Expenses,Year,Intervention,Mortality,Reduction
T20,50000,26,125.9157653,0.4,-1408.528187,2,2024,TRUE,7,2
T20,50000,35,206.4822503,0.4,-521.6480682,2,2024,TRUE,7,2
T20,50000,45,779.8376132,0.4,3489.675434,2,2024,TRUE,7,2
T20,50000,55,2783.246216,0.4,15137.94743,2,2024,TRUE,7,2
T20,100000,26,203.1517161,0.4,-1043.781753,2,2024,TRUE,7,2
T20,100000,35,378.3199804,0.4,183.4144268,2,2024,TRUE,7,2
T20,100000,45,1509.817256,0.4,8139.228442,2,2024,TRUE,7,2
T20,100000,55,5509.243937,0.4,31408.43899,2,2024,TRUE,7,2
T20,250000,26,434.6260225,0.4,-859.5814044,2,2024,TRUE,7,2
T20,250000,35,872.2845876,0.4,2207.562992,2,2024,TRUE,7,2
T20,250000,45,3699.756185,0.4,22087.88747,2,2024,TRUE,7,2
T20,250000,55,13687.2371,0.4,80219.91366,2,2024,TRUE,7,2
T20,500000,26,820.4165331,0.4,-552.5808236,2,2024,TRUE,7,2
T20,500000,35,1695.558933,0.4,5581.143934,2,2024,TRUE,7,2
T20,500000,45,7349.654399,0.4,45335.65251,2,2024,TRUE,7,2
T20,500000,55,27317.22571,0.4,161572.3714,2,2024,TRUE,7,2
T20,1000000,26,1591.997554,0.4,61.42033799,2,2024,TRUE,7,2
T20,1000000,35,3342.107624,0.4,12328.30582,2,2024,TRUE,7,2
T20,1000000,45,14649.45083,0.4,91831.1826,2,2024,TRUE,7,2
T20,1000000,55,54577.20292,0.4,324277.287,2,2024,TRUE,7,2
T20,2000000,26,3135.159597,0.4,1289.422661,2,2024,TRUE,7,2
T20,2000000,35,6635.205006,0.4,25822.62959,2,2024,TRUE,7,2
T20,2000000,45,29249.04369,0.4,184822.2428,2,2024,TRUE,7,2
T20,2000000,55,109097.1573,0.4,649687.1181,2,2024,TRUE,7,2
SPWL,50000,26,1535.597976,0.4,-747.82,2,2024,TRUE,7,2
SPWL,50000,35,2739.45332,0.4,106.12,2,2024,TRUE,7,2
SPWL,50000,45,6455.676705,0.4,2711.24,2,2024,TRUE,7,2
SPWL,50000,55,14978.76782,0.4,8373.42,2,2024,TRUE,7,2
SPWL,100000,26,2666.398725,0.4,-318.97,2,2024,TRUE,7,2
SPWL,100000,35,5078.675398,0.4,1392.16,2,2024,TRUE,7,2
SPWL,100000,45,12525.81864,0.4,6612.81,2,2024,TRUE,7,2
SPWL,100000,55,29608.95086,0.4,17962.41,2,2024,TRUE,7,2
SPWL,250000,26,6058.800973,0.4,967.60,2,2024,TRUE,7,2
SPWL,250000,35,12096.34163,0.4,5250.29,2,2024,TRUE,7,2
SPWL,250000,45,30736.24443,0.4,18317.52,2,2024,TRUE,7,2
SPWL,250000,55,73499.49996,0.4,46729.37,2,2024,TRUE,7,2
SPWL,500000,26,11712.80472,0.4,3111.87,2,2024,TRUE,7,2
SPWL,500000,35,23792.45202,0.4,11680.50,2,2024,TRUE,7,2
SPWL,500000,45,61086.95409,0.4,37825.37,2,2024,TRUE,7,2
SPWL,500000,55,146650.4151,0.4,94674.29,2,2024,TRUE,7,2
SPWL,1000000,26,23020.81221,0.4,7400.42,2,2024,TRUE,7,2
SPWL,1000000,35,47184.6728,0.4,24540.94,2,2024,TRUE,7,2
SPWL,1000000,45,121788.3734,0.4,76841.08,2,2024,TRUE,7,2
SPWL,1000000,55,292952.2455,0.4,190564.15,2,2024,TRUE,7,2
SPWL,2000000,26,45636.8272,0.4,15977.52,2,2024,TRUE,7,2
SPWL,2000000,35,93969.11435,0.4,50261.80,2,2024,TRUE,7,2
SPWL,2000000,45,243191.212,0.4,154872.49,2,2024,TRUE,7,2
SPWL,2000000,55,585555.9061,0.4,382343.86,2,2024,TRUE,7,2
